send_date,email_job_id,email_sender_name,email_content_name,email_subject,email_sends,email_unique_opens,email_unique_clicks,email_unique_unsubscribes
17/05/2025,4302774,Relacionamento,CAMPANHA 2025 - Lançamento de Coleção,Oferta exclusiva de lançamento de coleção só para você,443566,139865,16242,645
12/06/2025,4326191,Comunicação Interna,CAMPANHA 2025 - Liquidação,Preços imperdíveis nesta liquidação,356172,42741,5302,255
21/04/2025,4434133,Equipe Marketing,CAMPANHA 2025 - Verão,Não perca: novidades de verão,612754,137824,19667,1219
21/03/2025,4571704,Newsletter Especial,CAMPANHA 2025 - Dia das Mães,Preços imperdíveis nesta dia das mães,123849,36583,3669,300
25/04/2025,4097729,Equipe Produtos,CAMPANHA 2025 - Ano Novo,Surpresa! Presentes de ano novo esperando por você,8711,1862,329,14
09/04/2025,4887843,Equipe Vendas,CAMPANHA 2025 - Volta às Aulas,Últimos dias da promoção volta às aulas,789367,120594,16818,788
06/05/2025,4726563,Comunicação Interna,CAMPANHA 2025 - Ano Novo,Preços imperdíveis nesta ano novo,301281,111992,23885,371
13/04/2025,4706377,Equipe Produtos,CAMPANHA 2025 - Dia das Mães,Preços imperdíveis nesta dia das mães,228052,35523,6028,170
15/03/2025,4247403,Suporte ao Cliente,CAMPANHA 2025 - Dia dos Pais,Não perca: novidades de dia dos pais,203479,46144,4661,237
03/03/2025,4322789,Newsletter Especial,CAMPANHA 2025 - Aniversário da Loja,Não perca: novidades de aniversário da loja,456845,66464,10987,735
06/05/2025,4139772,Equipe Vendas,CAMPANHA 2025 - Verão,Oferta exclusiva de verão só para você,398826,95359,11044,682
12/06/2025,4522340,Equipe CRM,CAMPANHA 2025 - Volta às Aulas,Você foi selecionado(a) para descontos de volta às aulas,358395,89925,9977,607
02/06/2025,4786763,Time Promoções,CAMPANHA 2025 - Natal,Não perca: novidades de natal,353959,48247,4150,799
10/04/2025,4477047,Equipe Marketing,CAMPANHA 2025 - Natal,Preços imperdíveis nesta natal,728990,241681,20913,1005
12/04/2025,4830034,Equipe CRM,CAMPANHA 2025 - Aniversário da Loja,Últimos dias da promoção aniversário da loja,671010,204686,38277,1550
19/05/2025,4554681,Comunicação Interna,CAMPANHA 2025 - Dia dos Pais,Surpresa! Presentes de dia dos pais esperando por você,251162,30984,5036,362
25/05/2025,4218662,Newsletter Especial,CAMPANHA 2025 - Férias,Surpresa! Presentes de férias esperando por você,362082,119026,18760,251
23/02/2025,4415176,Equipe Produtos,CAMPANHA 2025 - Férias,Preços imperdíveis nesta férias,724018,124316,16553,857
11/02/2025,4619576,Time Promoções,CAMPANHA 2025 - Aniversário da Loja,Oferta exclusiva de aniversário da loja só para você,683114,235302,30893,339
19/04/2025,4231196,Marketing Digital,CAMPANHA 2025 - Black Friday,É hoje: campanha especial black friday,682691,188542,14928,951
20/05/2025,4964997,Equipe CRM,CAMPANHA 2025 - Inverno,Surpresa! Presentes de inverno esperando por você,683967,207742,38449,785
19/03/2025,4539274,Equipe CRM,CAMPANHA 2025 - Verão,Você foi selecionado(a) para descontos de verão,518381,73767,14374,239
01/01/2025,4191516,Equipe Vendas,CAMPANHA 2025 - Black Friday,Preços imperdíveis nesta black friday,552524,203836,15037,566
25/04/2025,4992948,Suporte ao Cliente,CAMPANHA 2025 - Lançamento de Coleção,Não perca: novidades de lançamento de coleção,414660,96399,10770,663
03/05/2025,4530099,Equipe Marketing,CAMPANHA 2025 - Férias,Descubra nossa nova coleção de férias,503962,101983,7987,313
11/01/2025,4945703,Equipe Produtos,CAMPANHA 2025 - Dia dos Pais,Preços imperdíveis nesta dia dos pais,779943,268255,41459,1595
25/04/2025,4198020,Marketing Digital,CAMPANHA 2025 - Natal,É hoje: campanha especial natal,662471,143648,30014,1651
07/02/2025,4147991,Equipe Marketing,CAMPANHA 2025 - Ano Novo,Você foi selecionado(a) para descontos de ano novo,344536,71177,4234,462
25/01/2025,4932873,Time Promoções,CAMPANHA 2025 - Volta às Aulas,Descubra nossa nova coleção de volta às aulas,372805,87176,10845,246
02/06/2025,4494965,Equipe Produtos,CAMPANHA 2025 - Lançamento de Coleção,Preços imperdíveis nesta lançamento de coleção,109405,22902,2429,231
12/05/2025,4663413,Newsletter Especial,CAMPANHA 2025 - Aniversário da Loja,Preços imperdíveis nesta aniversário da loja,347773,88276,6227,633
26/01/2025,4516521,Relacionamento,CAMPANHA 2025 - Liquidação,Você foi selecionado(a) para descontos de liquidação,366071,117299,19827,164
13/05/2025,4573189,Time Promoções,CAMPANHA 2025 - Dia das Mães,Descubra nossa nova coleção de dia das mães,778032,218104,14793,776
18/03/2025,4755358,Newsletter Especial,CAMPANHA 2025 - Verão,Surpresa! Presentes de verão esperando por você,293051,100379,14818,672
21/05/2025,4011508,Time Promoções,CAMPANHA 2025 - Liquidação,Você foi selecionado(a) para descontos de liquidação,502014,152843,8060,612
31/05/2025,4391396,Time Promoções,CAMPANHA 2025 - Liquidação,Preços imperdíveis nesta liquidação,180707,38111,2106,394
23/04/2025,4921403,Equipe Marketing,CAMPANHA 2025 - Férias,Você foi selecionado(a) para descontos de férias,523586,130516,23674,956
08/05/2025,4472211,Relacionamento,CAMPANHA 2025 - Volta às Aulas,Surpresa! Presentes de volta às aulas esperando por você,325146,54945,7037,501
16/04/2025,4605338,Relacionamento,CAMPANHA 2025 - Lançamento de Coleção,Você foi selecionado(a) para descontos de lançamento de coleção,567149,154244,31690,800
11/04/2025,4262296,Time Promoções,CAMPANHA 2025 - Férias,Surpresa! Presentes de férias esperando por você,580143,139029,13062,850
09/05/2025,4614643,Relacionamento,CAMPANHA 2025 - Dia das Mães,Surpresa! Presentes de dia das mães esperando por você,780725,276308,43856,464
18/02/2025,4473636,Marketing Digital,CAMPANHA 2025 - Verão,Oferta exclusiva de verão só para você,442540,87335,12282,325
02/03/2025,4266862,Time Promoções,CAMPANHA 2025 - Volta às Aulas,É hoje: campanha especial volta às aulas,372600,121388,20257,389
06/06/2025,4822700,Suporte ao Cliente,CAMPANHA 2025 - Inverno,Não perca: novidades de inverno,30351,10574,1963,44
27/01/2025,4081737,Marketing Digital,CAMPANHA 2025 - Dia dos Pais,Oferta exclusiva de dia dos pais só para você,353186,130516,11398,653
26/01/2025,4104925,Time Promoções,CAMPANHA 2025 - Dia das Mães,Corre! Estoques limitados para dia das mães,62403,16767,1669,154
16/04/2025,4880680,Equipe Vendas,CAMPANHA 2025 - Black Friday,Você foi selecionado(a) para descontos de black friday,301449,110685,22133,338
13/05/2025,4561389,Marketing Digital,CAMPANHA 2025 - Lançamento de Coleção,Preços imperdíveis nesta lançamento de coleção,36914,9930,1584,40
03/03/2025,4688095,Equipe Vendas,CAMPANHA 2025 - Ano Novo,Você foi selecionado(a) para descontos de ano novo,734449,206941,42668,1728
28/04/2025,4884802,Marketing Digital,CAMPANHA 2025 - Inverno,Corre! Estoques limitados para inverno,146342,30669,5750,231
02/04/2025,4988954,Comunicação Interna,CAMPANHA 2025 - Dia dos Pais,É hoje: campanha especial dia dos pais,720173,161556,25428,1253
19/03/2025,4986178,Equipe Vendas,CAMPANHA 2025 - Dia dos Pais,Só até amanhã: dia dos pais com frete grátis,752269,119913,6491,1438
07/06/2025,4430460,Marketing Digital,CAMPANHA 2025 - Verão,Últimos dias da promoção verão,230183,34569,3808,524
24/02/2025,4836172,Marketing Digital,CAMPANHA 2025 - Verão,Descubra nossa nova coleção de verão,547047,153652,18426,984
10/03/2025,4101657,Equipe Vendas,CAMPANHA 2025 - Aniversário da Loja,Surpresa! Presentes de aniversário da loja esperando por você,418911,146870,18626,967
16/05/2025,4749863,Marketing Digital,CAMPANHA 2025 - Natal,Preços imperdíveis nesta natal,251991,45959,9841,422
07/02/2025,4486063,Time Promoções,CAMPANHA 2025 - Aniversário da Loja,Só até amanhã: aniversário da loja com frete grátis,204296,39030,6836,339
28/05/2025,4484915,Equipe Vendas,CAMPANHA 2025 - Natal,Preços imperdíveis nesta natal,44862,15402,2353,45
13/02/2025,4445763,Time Promoções,CAMPANHA 2025 - Dia dos Pais,Você foi selecionado(a) para descontos de dia dos pais,203335,57544,9266,293
09/02/2025,4445205,Equipe Produtos,CAMPANHA 2025 - Lançamento de Coleção,Surpresa! Presentes de lançamento de coleção esperando por você,169633,45523,8050,229
19/03/2025,4641242,Equipe Produtos,CAMPANHA 2025 - Ano Novo,É hoje: campanha especial ano novo,426274,111207,16766,256
12/05/2025,4920868,Equipe Vendas,CAMPANHA 2025 - Inverno,É hoje: campanha especial inverno,295639,53669,8759,732
07/01/2025,4541475,Marketing Digital,CAMPANHA 2025 - Liquidação,Só até amanhã: liquidação com frete grátis,549193,202630,42642,860
01/01/2025,4032534,Time Promoções,CAMPANHA 2025 - Black Friday,Não perca: novidades de black friday,662840,211892,38002,1078
28/05/2025,4158185,Equipe Marketing,CAMPANHA 2025 - Liquidação,Corre! Estoques limitados para liquidação,612989,161643,18589,544
20/05/2025,4425696,Equipe Vendas,CAMPANHA 2025 - Dia das Mães,Só até amanhã: dia das mães com frete grátis,439802,109099,5501,322
18/04/2025,4847845,Suporte ao Cliente,CAMPANHA 2025 - Lançamento de Coleção,Descubra nossa nova coleção de lançamento de coleção,167912,29111,1725,158
12/03/2025,4352793,Marketing Digital,CAMPANHA 2025 - Dia dos Pais,Descubra nossa nova coleção de dia dos pais,273554,38779,2672,559
22/04/2025,4973469,Relacionamento,CAMPANHA 2025 - Black Friday,Descubra nossa nova coleção de black friday,279875,67953,13438,166
18/01/2025,4980376,Equipe CRM,CAMPANHA 2025 - Aniversário da Loja,É hoje: campanha especial aniversário da loja,251263,77387,12288,341
25/02/2025,4375524,Marketing Digital,CAMPANHA 2025 - Inverno,Surpresa! Presentes de inverno esperando por você,594857,102487,20657,1482
08/05/2025,4513811,Newsletter Especial,CAMPANHA 2025 - Dia das Mães,Oferta exclusiva de dia das mães só para você,681226,237160,47247,1208
29/05/2025,4085464,Comunicação Interna,CAMPANHA 2025 - Black Friday,Só até amanhã: black friday com frete grátis,549526,140440,12252,1246
07/05/2025,4124170,Equipe Marketing,CAMPANHA 2025 - Natal,É hoje: campanha especial natal,504763,202030,42794,486
25/01/2025,4670502,Equipe CRM,CAMPANHA 2025 - Liquidação,Descubra nossa nova coleção de liquidação,738605,290503,61783,839
14/03/2025,4457871,Comunicação Interna,CAMPANHA 2025 - Verão,Descubra nossa nova coleção de verão,739647,198929,29089,1814
15/03/2025,4211606,Time Promoções,CAMPANHA 2025 - Inverno,Preços imperdíveis nesta inverno,760366,190740,31136,567
29/04/2025,4800566,Comunicação Interna,CAMPANHA 2025 - Liquidação,Preços imperdíveis nesta liquidação,676077,192320,26046,398
29/03/2025,4871532,Equipe Produtos,CAMPANHA 2025 - Liquidação,Preços imperdíveis nesta liquidação,765650,273272,53759,1055
27/04/2025,4823115,Marketing Digital,CAMPANHA 2025 - Ano Novo,É hoje: campanha especial ano novo,794693,95363,16614,1225
21/05/2025,4014015,Newsletter Especial,CAMPANHA 2025 - Natal,Últimos dias da promoção natal,64520,17683,1138,95
08/04/2025,4097210,Comunicação Interna,CAMPANHA 2025 - Inverno,Oferta exclusiva de inverno só para você,694129,131632,18062,721
14/05/2025,4560173,Newsletter Especial,CAMPANHA 2025 - Verão,Últimos dias da promoção verão,214556,25747,4948,253
10/01/2025,4964754,Suporte ao Cliente,CAMPANHA 2025 - Aniversário da Loja,Últimos dias da promoção aniversário da loja,366501,95387,16542,451
23/01/2025,4956334,Equipe Vendas,CAMPANHA 2025 - Black Friday,Corre! Estoques limitados para black friday,750978,167314,12687,710
10/02/2025,4788278,Marketing Digital,CAMPANHA 2025 - Natal,Corre! Estoques limitados para natal,71922,15592,3050,63
22/05/2025,4511722,Equipe Produtos,CAMPANHA 2025 - Natal,É hoje: campanha especial natal,238804,62234,11743,313
14/05/2025,4055805,Equipe CRM,CAMPANHA 2025 - Black Friday,Oferta exclusiva de black friday só para você,550317,131405,18081,783
26/03/2025,4924457,Equipe CRM,CAMPANHA 2025 - Liquidação,Últimos dias da promoção liquidação,671075,285162,46377,624
30/04/2025,4937362,Comunicação Interna,CAMPANHA 2025 - Férias,Preços imperdíveis nesta férias,295632,74361,12475,421
22/05/2025,4522176,Equipe CRM,CAMPANHA 2025 - Liquidação,Preços imperdíveis nesta liquidação,148683,32123,4681,65
02/06/2025,4649809,Equipe Vendas,CAMPANHA 2025 - Inverno,Últimos dias da promoção inverno,184875,50999,7430,252
01/01/2025,4718607,Marketing Digital,CAMPANHA 2025 - Aniversário da Loja,Corre! Estoques limitados para aniversário da loja,189258,51881,3474,113
18/03/2025,4309496,Comunicação Interna,CAMPANHA 2025 - Férias,Não perca: novidades de férias,145231,37649,2154,333
21/04/2025,4868905,Marketing Digital,CAMPANHA 2025 - Dia dos Pais,Surpresa! Presentes de dia dos pais esperando por você,452524,139292,20439,645
21/03/2025,4429842,Comunicação Interna,CAMPANHA 2025 - Dia das Mães,É hoje: campanha especial dia das mães,210376,36775,5807,361
04/06/2025,4851014,Equipe Marketing,CAMPANHA 2025 - Verão,Você foi selecionado(a) para descontos de verão,64542,12667,1131,94
27/02/2025,4161046,Equipe CRM,CAMPANHA 2025 - Lançamento de Coleção,É hoje: campanha especial lançamento de coleção,322078,76699,4985,377
15/05/2025,4144551,Equipe Vendas,CAMPANHA 2025 - Dia das Mães,Preços imperdíveis nesta dia das mães,628829,116039,18660,1389
18/03/2025,4936593,Suporte ao Cliente,CAMPANHA 2025 - Volta às Aulas,Preços imperdíveis nesta volta às aulas,184701,59367,11654,221
26/02/2025,4362384,Comunicação Interna,CAMPANHA 2025 - Férias,Não perca: novidades de férias,543593,65231,4913,589
31/01/2025,4036140,Equipe Marketing,CAMPANHA 2025 - Lançamento de Coleção,É hoje: campanha especial lançamento de coleção,263930,70771,14884,404
04/01/2025,4520412,Time Promoções,CAMPANHA 2025 - Liquidação,Descubra nossa nova coleção de liquidação,609281,185942,28973,815
17/04/2025,4972805,Equipe Produtos,CAMPANHA 2025 - Dia dos Pais,Preços imperdíveis nesta dia dos pais,89701,15462,3264,135
08/03/2025,4958696,Relacionamento,CAMPANHA 2025 - Ano Novo,Só até amanhã: ano novo com frete grátis,77527,29207,5551,194
12/02/2025,4146515,Newsletter Especial,CAMPANHA 2025 - Dia das Mães,Descubra nossa nova coleção de dia das mães,507817,140816,29649,1038
12/01/2025,4835432,Equipe Vendas,CAMPANHA 2025 - Black Friday,Só até amanhã: black friday com frete grátis,539844,108398,21582,984
16/05/2025,4705904,Equipe CRM,CAMPANHA 2025 - Dia dos Pais,Não perca: novidades de dia dos pais,655658,217890,44246,1356
12/05/2025,4114053,Suporte ao Cliente,CAMPANHA 2025 - Inverno,Oferta exclusiva de inverno só para você,684950,159278,11179,1654
02/01/2025,4466821,Relacionamento,CAMPANHA 2025 - Inverno,É hoje: campanha especial inverno,261625,62142,13539,542
15/05/2025,4981261,Relacionamento,CAMPANHA 2025 - Verão,Você foi selecionado(a) para descontos de verão,742185,308985,42519,686
19/04/2025,4303988,Equipe CRM,CAMPANHA 2025 - Liquidação,Você foi selecionado(a) para descontos de liquidação,73475,12208,1591,49
15/02/2025,4393113,Equipe Marketing,CAMPANHA 2025 - Ano Novo,Surpresa! Presentes de ano novo esperando por você,525672,163037,18595,1047
16/05/2025,4416092,Equipe CRM,CAMPANHA 2025 - Black Friday,Surpresa! Presentes de black friday esperando por você,385096,109742,15790,321
08/03/2025,4730386,Comunicação Interna,CAMPANHA 2025 - Black Friday,Preços imperdíveis nesta black friday,70400,13538,2400,144
20/05/2025,4054838,Marketing Digital,CAMPANHA 2025 - Lançamento de Coleção,Oferta exclusiva de lançamento de coleção só para você,311088,72161,10322,454
14/02/2025,4994639,Equipe Vendas,CAMPANHA 2025 - Dia dos Pais,Só até amanhã: dia dos pais com frete grátis,764915,268694,14118,1010
14/04/2025,4247011,Relacionamento,CAMPANHA 2025 - Volta às Aulas,Descubra nossa nova coleção de volta às aulas,713063,180809,19912,1714
01/05/2025,4234358,Time Promoções,CAMPANHA 2025 - Férias,Só até amanhã: férias com frete grátis,339192,96615,7411,704
20/05/2025,4305795,Marketing Digital,CAMPANHA 2025 - Ano Novo,Só até amanhã: ano novo com frete grátis,427095,81495,13801,378
28/05/2025,4193543,Time Promoções,CAMPANHA 2025 - Inverno,Só até amanhã: inverno com frete grátis,252528,92117,12487,300
25/04/2025,4489700,Equipe Produtos,CAMPANHA 2025 - Lançamento de Coleção,Só até amanhã: lançamento de coleção com frete grátis,346054,100908,18270,545
10/04/2025,4434161,Comunicação Interna,CAMPANHA 2025 - Dia das Mães,Você foi selecionado(a) para descontos de dia das mães,79660,13933,2407,48
14/03/2025,4005156,Equipe Produtos,CAMPANHA 2025 - Inverno,Surpresa! Presentes de inverno esperando por você,59047,11936,1012,88
08/02/2025,4189397,Suporte ao Cliente,CAMPANHA 2025 - Ano Novo,É hoje: campanha especial ano novo,664786,157945,11678,636
30/04/2025,4547471,Time Promoções,CAMPANHA 2025 - Natal,Surpresa! Presentes de natal esperando por você,722551,177090,22554,1699
26/02/2025,4876104,Time Promoções,CAMPANHA 2025 - Natal,Preços imperdíveis nesta natal,394559,113074,13928,449
08/06/2025,4320489,Suporte ao Cliente,CAMPANHA 2025 - Lançamento de Coleção,Descubra nossa nova coleção de lançamento de coleção,795495,170797,18292,926
08/02/2025,4281345,Equipe Vendas,CAMPANHA 2025 - Aniversário da Loja,Últimos dias da promoção aniversário da loja,438709,74095,7387,740
20/03/2025,4768456,Suporte ao Cliente,CAMPANHA 2025 - Aniversário da Loja,Corre! Estoques limitados para aniversário da loja,155416,38892,4850,172
